canonical_name,matched_name,country_hint,country_code,openalex_id,ror_id,match_status,source_names,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank,in_arwu_2025,in_qs_2027,in_usnews_2026_2027
Khalifa University,Khalifa University of Science and Technology,United Arab Emirates,AE,https://openalex.org/I176601375,https://ror.org/05hffr360,auto,Khalifa University,,147,,False,True,False
Universidad de Buenos Aires (UBA),Universidad de Buenos Aires,Argentina,AR,https://openalex.org/I24354313,https://ror.org/0081fs513,manual,Universidad de Buenos Aires (UBA),,84,,False,True,False
Technische Universität Wien,TU Wien,Austria,AT,https://openalex.org/I145847075,https://ror.org/04d836q62,auto,Technische Universität Wien,,191,,False,True,False
University of Vienna,University of Vienna,Austria,AT,https://openalex.org/I129774422,https://ror.org/03prydq77,auto,University of Vienna,101-150,140,193,True,True,True
Curtin University,Curtin University,Australia,AU,https://openalex.org/I205640436,https://ror.org/02n415q13,auto,Curtin University,,189,155,False,True,True
Deakin University,Deakin University,Australia,AU,https://openalex.org/I149704539,https://ror.org/02czsnj07,manual,Deakin University,,,142,False,False,True
"Macquarie University (Sydney, Australia)",Macquarie University,Australia,AU,https://openalex.org/I99043593,https://ror.org/01sf06y89,manual,"Macquarie University; Macquarie University (Sydney, Australia)",,126,173,False,True,True
Monash University,Monash University,Australia,AU,https://openalex.org/I56590836,https://ror.org/02bfwt286,auto,Monash University,76,31,38,True,True,True
Queensland University of Technology,Queensland University of Technology,Australia,AU,https://openalex.org/I160993911,https://ror.org/03pnv4752,auto,Queensland University of Technology,,,172,False,False,True
RMIT University,RMIT University,Australia,AU,https://openalex.org/I82951845,https://ror.org/04ttjf776,auto,RMIT University,,119,173,False,True,True
Swinburne University of Technology,Swinburne University of Technology,Australia,AU,https://openalex.org/I57093077,https://ror.org/031rekg67,auto,Swinburne University of Technology,,,164,False,False,True
The Australian National University,Australian National University,Australia,AU,https://openalex.org/I118347636,https://ror.org/019wvm592,manual,Australian National University; Australian National University (ANU); The Australian National University,101-150,29,81,True,True,True
