canonical_name,display_name,matched_name,country_code,openalex_id,ror_id,works_2020_2024,cited_by_proxy,top10_count,top1_count,top10_share,top1_share,h_index,oa_share,international_collab_proxy_share,field_entropy,active_fields,has_medical_school_or_center,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank
Khalifa University,Khalifa University of Science and Technology,Khalifa University of Science and Technology,AE,https://openalex.org/I176601375,https://ror.org/05hffr360,13501,268676,268676,274,19.900451818383825,3.042880366708419,274,0.5601807273535294,0.47204381259997746,1.7371073536785602,6,False,601-700,147,340
Universidad de Buenos Aires (UBA),Universidad de Buenos Aires,Universidad de Buenos Aires,AR,https://openalex.org/I24354313,https://ror.org/0081fs513,36363,217202,217202,503,5.97315953029178,1.770343850227493,503,0.8045540796963947,0.4188033825716282,1.7935071539860288,9,False,,84,
Technische Universität Wien,TU Wien,TU Wien,AT,https://openalex.org/I145847075,https://ror.org/04d836q62,28349,219254,219254,623,7.734099968252848,1.9909145248057383,623,0.804613919362235,0.38286200774187223,1.5384529932090583,6,False,,191,
University of Vienna,University of Vienna,University of Vienna,AT,https://openalex.org/I129774422,https://ror.org/03prydq77,40008,499635,499635,774,12.488377324535094,2.376895437391245,774,0.7939912017596481,0.4267650246594676,1.6720565160024838,7,False,101-150,140,193
Curtin University,Curtin University,Curtin University,AU,https://openalex.org/I205640436,https://ror.org/02n415q13,30299,508387,508387,568,16.779002607346776,3.9791296470506254,568,0.6957655368163966,0.5288077417296332,1.7911454103976028,5,False,201-300,189,155
Deakin University,Deakin University,Deakin University,AU,https://openalex.org/I149704539,https://ror.org/02czsnj07,35129,630250,630250,608,17.941017393037093,4.210473684210526,608,0.8646702154914743,0.5631897832321321,1.9150336604997251,8,True,201-300,227,142
"Macquarie University (Sydney, Australia)",Macquarie University,Macquarie University,AU,https://openalex.org/I99043593,https://ror.org/01sf06y89,33226,518087,518087,647,15.592818876783243,3.387608529111338,647,0.6718533678444591,0.5763111277351053,2.2096991817558633,9,False,201-300,126,173
Monash University,Monash University,Monash University,AU,https://openalex.org/I56590836,https://ror.org/02bfwt286,92140,1761964,1761964,1065,19.122682873887562,4.310149407521896,1065,0.7329390058606469,0.539996883573768,1.7620297229399349,10,True,76,31,38
Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,AU,https://openalex.org/I160993911,https://ror.org/03pnv4752,29218,553102,553102,605,18.930180026011364,4.723812122659208,605,0.6821137654870285,0.5910711862498911,1.9270586491500454,9,True,301-400,240,172
RMIT University,RMIT University,RMIT University,AU,https://openalex.org/I82951845,https://ror.org/04ttjf776,32758,488226,488226,488,14.90402344465474,3.8792410355362597,488,0.805726845350754,0.5706939357893507,2.0457147451059323,11,False,301-400,119,173
Swinburne University of Technology,Swinburne University of Technology,Swinburne University of Technology,AU,https://openalex.org/I57093077,https://ror.org/031rekg67,28532,420628,420628,498,14.742324407682602,3.809261336324307,498,0.7909715407262021,0.3966263336135777,1.1194997096994759,5,False,201-300,291,164
The Australian National University,Australian National University,Australian National University,AU,https://openalex.org/I118347636,https://ror.org/019wvm592,43000,642371,642371,1052,14.93886046511628,4.134046464984122,1052,0.7041395348837209,0.5292677983310523,1.7515824294156959,7,False,101-150,29,81
The University of Adelaide,The University of Adelaide,The University of Adelaide,AU,https://openalex.org/I5681781,https://ror.org/00892tw58,40408,770253,770253,882,19.061893684418926,4.843876123876124,882,0.6740249455553355,0.5957840198708831,1.9200517517659341,8,False,151-200,79,85
The University of Melbourne,The University of Melbourne,The University of Melbourne,AU,https://openalex.org/I165779595,https://ror.org/01ej9dk98,105639,1761455,1761455,1251,16.674286958414978,3.881162289347638,1251,0.7465803349141888,0.5531686590623291,1.950028036853011,10,True,38,22,28
The University of New South Wales,UNSW Sydney,UNSW Sydney,AU,https://openalex.org/I31746571,https://ror.org/03r8z3t63,79536,1598867,1598867,1032,20.102431603299134,4.951899393709739,1032,0.6995951518809093,0.5867507768178837,1.8416706017799056,9,True,80,19,33
The University of Western Australia,The University of Western Australia,The University of Western Australia,AU,https://openalex.org/I177877127,https://ror.org/047272k79,44054,752485,752485,973,17.080968811004677,4.392212022505182,973,0.7411812775230399,0.5633450253479536,1.866533229264614,8,False,101-150,77,90
University of Queensland Australia,The University of Queensland,The University of Queensland,AU,https://openalex.org/I165143802,https://ror.org/00rqy9422,79052,1485727,1485727,1443,18.794299954460357,4.390467661006051,1443,0.6954409755603906,0.5340755806119855,1.708069043171281,8,True,65,40,42
University of Sydney,The University of Sydney,The University of Sydney,AU,https://openalex.org/I129604602,https://ror.org/0384j8v12,93004,1678004,1678004,1252,18.04227775149456,4.584240921657172,1252,0.6782181411552192,0.5571325355858372,1.7806610193266073,10,True,72,28,31
University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,AU,https://openalex.org/I114017466,https://ror.org/03f0f6041,35882,770980,770980,568,21.4865392118611,5.245288489417223,568,0.5848614904408895,0.5717585447795552,1.6806028698596012,7,False,201-300,87,85
University of Wollongong,University of Wollongong,University of Wollongong,AU,https://openalex.org/I204824540,https://ror.org/00jtmb277,21204,420142,420142,568,19.81428032446708,4.180337030349927,568,0.716374269005848,0.5655842513613829,1.9362183516711473,8,False,301-400,195,204
Ghent University,Ghent University,Ghent University,BE,https://openalex.org/I32597200,https://ror.org/00cv9y106,45103,831991,831991,900,18.446466975589207,4.266989655623936,900,0.7905904263574485,0.5907766565666488,2.0494902804426895,9,False,91,150,104
KU Leuven,KU Leuven,KU Leuven,BE,https://openalex.org/I99464096,https://ror.org/05f950310,80767,1367406,1367406,1298,16.930256168979906,3.6402113764395034,1298,0.8013173697178303,0.5526406812224194,2.012581143497333,8,True,76,59,48
Université catholique de Louvain (UCLouvain),UCLouvain,UCLouvain,BE,https://openalex.org/I95674353,https://ror.org/02495e989,23231,369400,369400,794,15.901166544703198,3.6448022185417708,794,0.858464982135939,0.560303706240036,2.0529461517351146,9,False,,196,
Universit茅 libre de Bruxelles (ULB),Université Libre de Bruxelles,Université Libre de Bruxelles,BE,https://openalex.org/I132053463,https://ror.org/01r9htc13,26636,387418,387418,827,14.544901636882415,3.583322320602617,827,0.8528307553686739,0.41867168626403384,1.3005537820265671,8,False,101-150,248,275
Universidade de São Paulo,Universidade de São Paulo,Universidade de São Paulo,BR,https://openalex.org/I17974374,https://ror.org/036rp1748,136878,1187321,1187321,866,8.674301202530721,1.9322011961689896,866,0.7900466108505384,0.49309057107062754,2.1529529685604825,11,False,101-150,133,134
McGill University,McGill University,McGill University,CA,https://openalex.org/I5023651,https://ror.org/01pxwe438,72016,1124234,1124234,1217,15.610892023994667,3.768500018386634,1217,0.7107031770717618,0.45598250759814984,1.4528803103865284,5,True,76,30,68
McMaster University,McMaster University,McMaster University,CA,https://openalex.org/I98251732,https://ror.org/02fa3aq29,48479,924951,924951,1183,19.079415829534437,3.690019528525596,1183,0.6844200581695167,0.4268792408736901,1.3161529738129378,6,True,101-150,174,150
Queen's University at Kingston,Queen's University,Queen's University,CA,https://openalex.org/I204722609,https://ror.org/02y72wh86,28569,550652,550652,763,19.274458328957962,3.005617400239767,763,0.6298435367006195,0.5332603420190618,2.079640153132569,10,True,201-300,179,415
The University of Calgary,University of Calgary,University of Calgary,CA,https://openalex.org/I168635309,https://ror.org/03yjb2x39,52596,796371,796371,916,15.14128450832763,3.552327338072293,916,0.6579397672826831,0.48428732601235935,1.6652726503065478,8,True,151-200,249,208
University of Alberta,University of Alberta,University of Alberta,CA,https://openalex.org/I154425047,https://ror.org/0160cpw27,64652,987438,987438,1066,15.273123801274515,3.563574930068962,1066,0.6297717007981192,0.5587929317169896,2.0667962652768446,10,False,101-150,96,164
University of British Columbia,University of British Columbia,University of British Columbia,CA,https://openalex.org/I141945490,https://ror.org/03rmrcq20,93018,1585897,1585897,1326,17.04935603861618,3.009821385195861,1326,0.6972198929239503,0.49667989259043066,1.8798610113254683,9,True,53,45,42
University of Montreal,Université de Montréal,Université de Montréal,CA,https://openalex.org/I70931966,https://ror.org/0161xgx34,43799,612403,612403,902,13.982122879517798,3.149049211265872,902,0.72319002716957,0.5121940718747702,1.9263040261768065,9,True,151-200,162,193
University of Toronto,University of Toronto,University of Toronto,CA,https://openalex.org/I185261750,https://ror.org/03dbr7087,144546,2639350,2639350,1759,18.25958518395528,4.2286251339497465,1759,0.6821496271083254,0.48602825221047485,1.4911058673866084,8,True,25,32,20
University of Waterloo,University of Waterloo,University of Waterloo,CA,https://openalex.org/I151746483,https://ror.org/01aff2v68,36951,621566,621566,766,16.821358014668075,4.193746462931522,766,0.5885361695217991,0.4537922370970897,1.3255289584270005,5,False,151-200,113,199
Western University,Western University,Western University,CA,https://openalex.org/I125749732,https://ror.org/02grkyz14,43193,619187,619187,833,14.335355265899567,3.494524149638739,833,0.6546199615678466,0.5111685963512749,1.8269363040314455,9,True,301-400,142,309
EPFL – École polytechnique fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,CH,https://openalex.org/I5124864,https://ror.org/02s376052,37776,739309,739309,1215,19.570865099534096,4.985044562263649,1215,0.911160525201186,0.5191405553555766,1.4655370410680886,7,False,44,22,80
Swiss Federal Institute of Technology Zurich,ETH Zurich,ETH Zurich,CH,https://openalex.org/I35440088,https://ror.org/05a28rw58,71567,1351855,1351855,1157,18.88936241563849,3.4795241055974726,1157,0.8386546872161751,0.39886802955527934,1.2211987901683914,3,False,22,8,33
University of Basel,University of Basel,University of Basel,CH,https://openalex.org/I1850255,https://ror.org/02s6k3f65,32797,524593,524593,865,15.995151995609355,3.8688328813474984,865,0.8455041619660335,0.5557279577352704,1.9672729738898913,10,True,94,150,189
University of Bern,University of Bern,University of Bern,CH,https://openalex.org/I118564535,https://ror.org/02k7v4d05,48163,811225,811225,901,16.843323713223842,3.450388177608281,901,0.8505699395801757,0.46852916343973283,1.6073805942505086,6,False,151-200,191,113
University of Geneva,University of Geneva,University of Geneva,CH,https://openalex.org/I114457229,https://ror.org/01swzsf04,35502,598793,598793,1005,16.866458227705483,4.036990930108483,1005,0.8555010985296603,0.4047029901351495,1.1015268373595732,4,False,58,168,129
University of Lausanne,University of Lausanne,University of Lausanne,CH,https://openalex.org/I97565354,https://ror.org/019whta54,34714,551766,551766,967,15.894624647116437,3.5746904902272005,967,0.8397188454225961,0.5524149956552085,2.0291450822666817,9,True,101-150,233,179
University of Zurich,University of Zurich,University of Zurich,CH,https://openalex.org/I202697423,https://ror.org/02crff812,60649,1015953,1015953,1106,16.751356164157695,7.158730772203756,1106,0.8539959438737654,0.7276138614024102,2.007407342623983,7,False,64,98,64
Pontificia Universidad Católica de Chile (UC),Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,CL,https://openalex.org/I162148367,https://ror.org/04teye511,24828,298786,298786,477,12.03423554051877,2.5071098471382864,477,0.7580554212985339,0.3545123565106836,1.2443586429387579,4,False,,119,
Universidad de Chile,University of Chile,University of Chile,CL,https://openalex.org/I69737025,https://ror.org/047gc3g35,28604,279598,279598,514,9.774786743112852,0.9452515800705902,514,0.8080338414207803,0.3507142976318003,1.6477916565323967,6,False,501-600,185,421
Beihang University,Beihang University,Beihang University,CN,https://openalex.org/I82880672,https://ror.org/00wk2mp56,50889,886445,886445,553,17.419186857670617,5.036857222990551,553,0.3907327713258268,0.41813755859210333,0.9030069633816434,3,False,101-150,349,183
Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,CN,https://openalex.org/I125839683,https://ror.org/01skt4w74,53637,1041145,1041145,575,19.4109476667226,5.475592209159502,575,0.3554449353990715,0.4196228375334955,0.7919521887143898,4,False,101-150,243,152
Beijing Normal University,Beijing Normal University,Beijing Normal University,CN,https://openalex.org/I25254941,https://ror.org/022k4wk35,44746,727855,727855,579,16.26637017833996,4.489039927030924,579,0.5783533723684798,0.47754091468307625,1.3743135477125994,6,False,101-150,237,135
