canonical_name,display_name,matched_name,source_names,country_code,openalex_id,ror_id,window_key,window_label,window_start,window_end,works,cited_by_proxy,top10_count,top1_count,top10_share,top1_share,h_index,field_entropy,active_fields,international_collab_count,international_collab_share,core_source_count,core_source_share,oa_count,oa_share,oa_gold_count,oa_hybrid_count,oa_green_count,oa_bronze_count,oa_diamond_count,closed_count,sdg_count,sdg_share,funder_count,has_medical_school_or_center,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank
Khalifa University,Khalifa University of Science and Technology,Khalifa University of Science and Technology,Khalifa University,AE,https://openalex.org/I176601375,https://ror.org/05hffr360,2020_2024,5-year 2020-2024,2020,2024,11516,3712,3712,589,0.32233414379993053,0.051146231330323026,274,2.3218888483719664,15,8524,0.7401875651267801,8990,0.7806530045154567,5664,0.49183744355679054,2799,1209,827,416,413,5852,6999,0.6077631121917333,200,False,601-700,147,340
Universidad de Buenos Aires (UBA),Universidad de Buenos Aires,Universidad de Buenos Aires,Universidad de Buenos Aires (UBA),AR,https://openalex.org/I24354313,https://ror.org/0081fs513,2020_2024,5-year 2020-2024,2020,2024,26697,4410,4410,433,0.16518709967412068,0.01621905082968124,503,2.5591620486026043,17,10599,0.39701090010113493,13078,0.48986777540547627,20204,0.7567891523392142,3087,1591,3721,1667,10138,6493,16557,0.6201820429261715,200,False,,84,
Technische Universität Wien,TU Wien,TU Wien,Technische Universität Wien,AT,https://openalex.org/I145847075,https://ror.org/04d836q62,2020_2024,5-year 2020-2024,2020,2024,16465,3577,3577,475,0.21724870938354085,0.028849073792894017,623,2.366582660454498,16,9926,0.6028545399331916,11828,0.7183723048891588,10795,0.6556331612511388,3304,4048,1553,665,1225,5670,8433,0.512177345885211,200,False,,191,
University of Vienna,University of Vienna,University of Vienna,University of Vienna,AT,https://openalex.org/I129774422,https://ror.org/03prydq77,2020_2024,5-year 2020-2024,2020,2024,28160,8333,8333,1363,0.29591619318181817,0.048401988636363635,774,2.8067565788164637,18,17480,0.6207386363636364,19623,0.6968394886363637,19946,0.708309659090909,5975,7366,2828,1685,2092,8214,16394,0.5821732954545454,200,False,101-150,140,193
Curtin University,Curtin University,Curtin University,Curtin University,AU,https://openalex.org/I205640436,https://ror.org/02n415q13,2020_2024,5-year 2020-2024,2020,2024,23766,7987,7987,1252,0.33606833291256416,0.052680299587646216,568,2.6765694915189697,18,15202,0.6396532862071868,20212,0.8504586383909787,15134,0.6367920558781452,5477,3646,2916,1828,1267,8632,14785,0.6221072119835058,200,False,201-300,189,155
Deakin University,Deakin University,Deakin University,Deakin University,AU,https://openalex.org/I149704539,https://ror.org/02czsnj07,2020_2024,5-year 2020-2024,2020,2024,27648,10216,10216,1632,0.3695023148148148,0.059027777777777776,608,2.5634521542710536,15,14965,0.5412688078703703,22201,0.8029875578703703,23515,0.8505135995370371,5797,4196,10508,1798,1216,4133,17697,0.6400824652777778,200,False,201-300,227,142
"Macquarie University (Sydney, Australia)",Macquarie University,Macquarie University,"Macquarie University; Macquarie University (Sydney, Australia)",AU,https://openalex.org/I99043593,https://ror.org/01sf06y89,2020_2024,5-year 2020-2024,2020,2024,25194,8615,8615,1380,0.3419464951972692,0.05477494641581329,648,2.7272993370227048,18,14498,0.5754544732872906,19816,0.7865364769389537,14565,0.5781138366277685,5157,3776,2713,1922,997,10629,15862,0.6295943478606018,200,False,201-300,126,173
Monash University,Monash University,Monash University,Monash University,AU,https://openalex.org/I56590836,https://ror.org/02bfwt286,2020_2024,5-year 2020-2024,2020,2024,67680,22489,22489,3638,0.3322842789598109,0.05375295508274232,1066,2.505430961769278,18,39577,0.584766548463357,56797,0.8391991725768322,44201,0.6530880614657211,14714,10929,8857,6300,3401,23479,44083,0.6513445626477541,200,False,76,31,38
Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,AU,https://openalex.org/I160993911,https://ror.org/03pnv4752,2020_2024,5-year 2020-2024,2020,2024,24431,8452,8452,1265,0.34595391101469447,0.051778478162989645,605,2.656511570643472,20,13644,0.5584707953010519,20516,0.839752773116123,15340,0.6278907944824199,5230,3846,3174,1962,1128,9091,15443,0.6321067496213827,200,False,301-400,240,172
RMIT University,RMIT University,RMIT University,RMIT University,AU,https://openalex.org/I82951845,https://ror.org/04ttjf776,2020_2024,5-year 2020-2024,2020,2024,23125,7946,7946,1252,0.3436108108108108,0.054140540540540544,488,2.595573785897894,18,15070,0.6516756756756756,17567,0.7596540540540541,16889,0.7303351351351351,3856,3066,7612,1056,1299,6236,14079,0.6088216216216216,200,False,301-400,119,173
