canonical_name,display_name,matched_name,source_names,country_code,openalex_id,ror_id,window_key,window_label,window_start,window_end,works,cited_by_proxy,top10_count,top1_count,top10_share,top1_share,h_index,field_entropy,active_fields,international_collab_count,international_collab_share,core_source_count,core_source_share,oa_count,oa_share,oa_gold_count,oa_hybrid_count,oa_green_count,oa_bronze_count,oa_diamond_count,closed_count,sdg_count,sdg_share,funder_count,has_medical_school_or_center,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank
Khalifa University,Khalifa University of Science and Technology,Khalifa University of Science and Technology,Khalifa University,AE,https://openalex.org/I176601375,https://ror.org/05hffr360,2025,Annual snapshot 2025,2025,2025,3002,966,966,166,0.3217854763491006,0.0552964690206529,274,2.329555998933281,7,2141,0.7131912058627582,2400,0.7994670219853431,1690,0.5629580279813458,786,564,99,58,183,1312,926,0.3084610259826782,200,False,601-700,147,340
Universidad de Buenos Aires (UBA),Universidad de Buenos Aires,Universidad de Buenos Aires,Universidad de Buenos Aires (UBA),AR,https://openalex.org/I24354313,https://ror.org/0081fs513,2025,Annual snapshot 2025,2025,2025,4400,653,653,69,0.1484090909090909,0.015681818181818182,503,2.6030679629410614,11,2037,0.46295454545454545,2290,0.5204545454545455,3201,0.7275,552,591,388,143,1527,1199,1296,0.29454545454545455,200,False,,84,
Technische Universität Wien,TU Wien,TU Wien,Technische Universität Wien,AT,https://openalex.org/I145847075,https://ror.org/04d836q62,2025,Annual snapshot 2025,2025,2025,3702,739,739,94,0.19962182603997838,0.025391680172879523,623,2.406931307230998,8,2127,0.5745542949756888,2488,0.6720691518098325,2785,0.7522960561858455,641,1123,691,49,281,917,937,0.2531064289573204,200,False,,191,
University of Vienna,University of Vienna,University of Vienna,University of Vienna,AT,https://openalex.org/I129774422,https://ror.org/03prydq77,2025,Annual snapshot 2025,2025,2025,6586,1683,1683,286,0.2555420589128454,0.04342544791982994,774,2.7836309196827917,15,4570,0.6938961433343456,4295,0.6521409049498937,5103,0.7748253871849378,1310,1899,1209,206,479,1483,1609,0.24430610385666565,200,False,101-150,140,193
Curtin University,Curtin University,Curtin University,Curtin University,AU,https://openalex.org/I205640436,https://ror.org/02n415q13,2025,Annual snapshot 2025,2025,2025,4582,1522,1522,227,0.3321693583587953,0.04954168485377564,568,2.629290894315141,13,3031,0.6615015277171541,3955,0.8631601920558708,3215,0.7016586643387167,1178,1343,219,195,280,1367,1348,0.29419467481449146,200,False,201-300,189,155
Deakin University,Deakin University,Deakin University,Deakin University,AU,https://openalex.org/I149704539,https://ror.org/02czsnj07,2025,Annual snapshot 2025,2025,2025,5445,1776,1776,285,0.3261707988980716,0.05234159779614325,608,2.5314612697121537,12,2982,0.5476584022038568,4428,0.8132231404958677,4585,0.8420569329660239,1131,1658,1208,331,257,860,1694,0.3111111111111111,200,False,201-300,227,142
"Macquarie University (Sydney, Australia)",Macquarie University,Macquarie University,"Macquarie University; Macquarie University (Sydney, Australia)",AU,https://openalex.org/I99043593,https://ror.org/01sf06y89,2025,Annual snapshot 2025,2025,2025,4810,1452,1452,215,0.3018711018711019,0.0446985446985447,648,2.6927195366462424,15,2825,0.5873180873180873,3791,0.7881496881496881,3179,0.6609147609147609,1032,1363,252,244,288,1631,1374,0.28565488565488567,200,False,201-300,126,173
Monash University,Monash University,Monash University,Monash University,AU,https://openalex.org/I56590836,https://ror.org/02bfwt286,2025,Annual snapshot 2025,2025,2025,13745,4407,4407,804,0.3206256820662059,0.05849399781738814,1066,2.472109647083381,17,8496,0.6181156784285194,11617,0.8451800654783558,9711,0.706511458712259,3158,3973,885,775,920,4034,4456,0.3241906147690069,200,False,76,31,38
Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,AU,https://openalex.org/I160993911,https://ror.org/03pnv4752,2025,Annual snapshot 2025,2025,2025,4713,1499,1499,257,0.318056439635052,0.054530023339698704,605,2.643253956842526,11,2732,0.57967324421812,3997,0.8480797793337577,3203,0.6796095904943773,1134,1395,233,181,260,1510,1406,0.2983237852747719,200,False,301-400,240,172
RMIT University,RMIT University,RMIT University,RMIT University,AU,https://openalex.org/I82951845,https://ror.org/04ttjf776,2025,Annual snapshot 2025,2025,2025,4989,1673,1673,274,0.3353377430346763,0.054920825816796956,488,2.5914512007607273,13,3728,0.7472439366606535,3892,0.7801162557626778,3047,0.6107436359991982,950,1321,280,203,293,1942,1447,0.2900380837843255,200,False,301-400,119,173
Swinburne University of Technology,Swinburne University of Technology,Swinburne University of Technology,Swinburne University of Technology,AU,https://openalex.org/I57093077,https://ror.org/031rekg67,2025,Annual snapshot 2025,2025,2025,2988,938,938,189,0.3139223560910308,0.06325301204819277,499,2.5800678803130093,10,1915,0.6408969210174029,2335,0.7814591700133868,1887,0.6315261044176707,609,755,187,122,214,1101,798,0.26706827309236947,200,False,201-300,291,164
The Australian National University,Australian National University,Australian National University,Australian National University; Australian National University (ANU); The Australian National University,AU,https://openalex.org/I118347636,https://ror.org/019wvm592,2025,Annual snapshot 2025,2025,2025,5896,1706,1706,264,0.289348710990502,0.04477611940298507,1054,2.765495809130222,15,3370,0.5715739484396201,4459,0.7562754409769336,4068,0.6899592944369064,1256,1709,378,338,387,1828,1645,0.27900271370420626,200,False,101-150,29,81
The University of Adelaide,The University of Adelaide,The University of Adelaide,Adelaide University; The University of Adelaide,AU,https://openalex.org/I5681781,https://ror.org/00892tw58,2025,Annual snapshot 2025,2025,2025,6323,1887,1887,313,0.298434287521746,0.04950181875691918,883,2.6617639181015713,15,3774,0.596868575043492,5271,0.8336232800885656,4223,0.667879171279456,1343,1820,314,345,401,2100,2020,0.31946860667404714,200,False,151-200,79,85
The University of Melbourne,The University of Melbourne,The University of Melbourne,The University of Melbourne; University of Melbourne,AU,https://openalex.org/I165779595,https://ror.org/01ej9dk98,2025,Annual snapshot 2025,2025,2025,14513,4433,4433,765,0.3054502859505271,0.05271136222696893,1251,2.5216425742060853,17,8465,0.5832701715703162,12139,0.8364225177427135,10488,0.722662440570523,3594,4255,893,766,980,4025,4931,0.33976434920416176,200,False,38,22,28
The University of New South Wales,UNSW Sydney,UNSW Sydney,The University of New South Wales; The University of New South Wales (UNSW Sydney); University of New South Wales,AU,https://openalex.org/I31746571,https://ror.org/03r8z3t63,2025,Annual snapshot 2025,2025,2025,12296,3733,3733,649,0.3035946649316851,0.05278139232270657,1032,2.5772912089163307,19,7486,0.6088158750813273,10286,0.8365322055953156,8324,0.6769681197137281,2805,3526,685,573,735,3972,3873,0.3149804814573845,200,False,80,19,33
The University of Western Australia,The University of Western Australia,The University of Western Australia,The University of Western Australia; University of Western Australia,AU,https://openalex.org/I177877127,https://ror.org/047272k79,2025,Annual snapshot 2025,2025,2025,5909,1823,1823,291,0.30851243865290234,0.04924691149094602,973,2.5922920513332564,13,3757,0.6358097816889491,5156,0.8725672702656964,4171,0.7058723980368928,1545,1598,401,297,330,1738,1917,0.3244203756980877,200,False,101-150,77,90
University of Queensland Australia,The University of Queensland,The University of Queensland,The University of Queensland; University of Queensland Australia,AU,https://openalex.org/I165143802,https://ror.org/00rqy9422,2025,Annual snapshot 2025,2025,2025,11904,3725,3725,620,0.31292002688172044,0.052083333333333336,1443,2.6097562728831543,18,7251,0.6091229838709677,10125,0.850554435483871,8257,0.6936323924731183,2911,3496,547,613,690,3647,3796,0.31888440860215056,200,False,65,40,42
University of Sydney,The University of Sydney,The University of Sydney,The University of Sydney; University of Sydney,AU,https://openalex.org/I129604602,https://ror.org/0384j8v12,2025,Annual snapshot 2025,2025,2025,14334,4151,4151,673,0.2895911818054974,0.04695130459048416,1251,2.473394837458601,16,8276,0.5773684944886285,11890,0.8294963024975582,9937,0.6932468257290358,3506,3913,792,801,925,4397,4562,0.3182642667782894,200,False,72,28,31
University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,AU,https://openalex.org/I114017466,https://ror.org/03f0f6041,2025,Annual snapshot 2025,2025,2025,5770,1870,1870,314,0.3240901213171577,0.054419410745233966,567,2.5405306982493028,12,3787,0.6563258232235701,4460,0.7729636048526863,3376,0.5850953206239168,1201,1371,297,191,316,2394,1841,0.3190641247833622,200,False,201-300,87,85
University of Wollongong,University of Wollongong,University of Wollongong,University of Wollongong,AU,https://openalex.org/I204824540,https://ror.org/00jtmb277,2025,Annual snapshot 2025,2025,2025,3690,1053,1053,199,0.28536585365853656,0.05392953929539295,568,2.6190536467013725,8,2308,0.6254742547425475,2906,0.7875338753387534,2192,0.5940379403794038,691,873,257,164,207,1498,1115,0.3021680216802168,200,False,301-400,195,204
Ghent University,Ghent University,Ghent University,Ghent University,BE,https://openalex.org/I32597200,https://ror.org/00cv9y106,2025,Annual snapshot 2025,2025,2025,7274,2098,2098,304,0.2884245257080011,0.041792686279901015,900,2.7647411757630422,17,4952,0.680780863348914,6280,0.8633489139400605,5474,0.7525433049216387,2038,1252,1596,238,350,1800,2480,0.34094033544129776,200,False,91,150,104
