rank,display_name,canonical_name,matched_name,country_code,score,works_2020_2024,top10_count,top1_count,top10_share,top1_share,h_index,field_entropy,active_fields,international_collab_proxy_share,oa_share,has_medical_school_or_center,openalex_id,ror_id,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank
1,Harvard University,Harvard University,Harvard University,US,94.65,173624,4716403,2751,27.164465,6.929764,2751,1.612220,6,0.643389,0.733274,True,https://openalex.org/I136199984,https://ror.org/03vek6s52,1,5,1
2,Stanford University,Stanford University,Stanford University,US,93.23,130054,2713798,2462,20.866702,6.129395,2462,1.960108,8,0.667437,0.733711,True,https://openalex.org/I97018004,https://ror.org/00f54p054,2,2,3
3,University of Washington,University of Washington,University of Washington,US,88.96,151601,2229428,3562,14.705892,46.384225,3562,2.019073,9,0.771826,0.809856,True,https://openalex.org/I201448701,https://ror.org/00cvxb145,17,92,12
4,University College London,University College London,University College London,GB,87.98,162171,3227918,2048,19.904410,5.007684,2048,1.440889,6,0.515733,0.827503,True,https://openalex.org/I45129253,https://ror.org/02jx3x895,14,8,9
5,Johns Hopkins University,Johns Hopkins University,Johns Hopkins University,US,85.79,131516,2436106,2240,18.523267,4.014970,2240,1.636532,8,0.502127,0.744685,True,https://openalex.org/I145311948,https://ror.org/00za53h95,19,20,17
6,University of Oxford,University of Oxford,University of Oxford,GB,84.90,231371,2790702,2050,12.061589,4.504786,2050,1.957046,8,0.585642,0.887345,True,https://openalex.org/I40120149,https://ror.org/052gg0110,6,4,4
7,Tsinghua University,Tsinghua University,Tsinghua University,CN,83.84,123688,2941311,1173,23.780084,6.515777,1173,1.635434,7,0.626965,0.470442,False,https://openalex.org/I99065089,https://ror.org/03cve4549,18,14,6
8,University of Toronto,University of Toronto,University of Toronto,CA,83.81,144546,2639350,1759,18.259585,4.228625,1759,1.491106,8,0.486028,0.682150,True,https://openalex.org/I185261750,https://ror.org/03dbr7087,25,32,20
9,Imperial College London,Imperial College London,Imperial College London,GB,82.91,113313,2218429,1545,19.577886,6.317994,1545,1.621657,6,0.614539,0.817982,True,https://openalex.org/I47508984,https://ror.org/041kmwe10,26,2,14
10,University of Pennsylvania,University of Pennsylvania,University of Pennsylvania,US,82.79,84752,1894411,1738,22.352405,5.817229,1738,1.611551,6,0.587639,0.685860,True,https://openalex.org/I79576946,https://ror.org/00b30xv10,14,15,17
11,University of Cambridge,University of Cambridge,University of Cambridge,GB,82.22,110065,2283977,1796,20.751165,5.967730,1796,1.116203,5,0.503943,0.811057,True,https://openalex.org/I241749,https://ror.org/013meh722,4,6,5
12,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,US,80.85,64807,1518305,2252,23.428102,6.816228,2252,1.103257,6,0.543983,0.783542,False,https://openalex.org/I63966007,https://ror.org/042nb2s44,3,1,2
13,National University of Singapore,National University of Singapore,National University of Singapore,SG,80.79,81410,1922341,1079,23.613082,6.295140,1079,2.021754,10,0.687076,0.604827,False,https://openalex.org/I165932596,https://ror.org/01tgyzw49,56,10,16
14,Cornell University,Cornell University,Cornell University,US,80.33,106958,1918728,1839,17.939079,4.822919,1839,1.637835,6,0.542764,0.715346,True,https://openalex.org/I205783295,https://ror.org/05bnh6r87,12,16,13
15,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,CN,80.02,187915,3958412,901,21.064907,5.793372,901,1.912784,8,0.641920,0.525860,False,https://openalex.org/I4210165038,https://ror.org/05qbk4x57,,,53
16,Peking University,Peking University,Peking University,CN,79.66,155307,2519704,1107,16.224021,4.929419,1107,2.083448,9,0.630152,0.679055,False,https://openalex.org/I20231570,https://ror.org/02v51f717,23,13,19
17,Columbia University,Columbia University,Columbia University,US,79.48,83947,1587060,1715,18.905500,4.599645,1715,1.928349,8,0.585100,0.739121,True,https://openalex.org/I78577930,https://ror.org/00hj8s172,8,43,10
18,University of California San Diego,"University of California, San Diego",University of California San Diego,US,78.58,90519,1796252,1727,19.843922,3.845889,1727,1.701373,6,0.505613,0.743104,True,https://openalex.org/I36258959,https://ror.org/0168r3w48,20,81,23
19,Université Paris Cité,Universit茅 Paris Cit茅,Université Paris Cité,FR,77.91,86985,1628051,1641,18.716457,4.876339,1641,1.708648,8,0.558476,0.709950,False,https://openalex.org/I204730241,https://ror.org/05f82e368,60,,61
